id|url|name|price|currency|rate|description|instruction|made
19000013011|https://goldapple.ru/19000013011-hundred-silent-ways|NISHANE Hundred Silent Ways|31200|RUB|5.0|Этот аромат был создан, как дань уважения наиболее легендарным ароматам в истории парфюмерии с современной интерпретацией и сочетанием*благородных нот. Чтобы с одной лишь капли аромата можно было чувствовать красоту души, когда-либо порхавшей на земле, и молча разделять*чувства со всеми, с кем она сталкивалась. Будьте готовы к комплиментам. «Я сомкнул губы и говорил с тобой сотней молчаливых способов» - Руми|Наносить на неповрежденные участки кожи. Не распылять вблизи открытого огня. Не допускать попадания в глаза или на поврежденную кожу. Употребление в пищу опасно для здоровья! Хранить в темном месте при комнатной температуре!|страна происхождения: Турция;
7432000002|https://goldapple.ru/7432000002-dylan-blue|VERSACE Dylan Blue|7441|RUB|4.8|Парфюмерная вода Versace Dylan Blue представлен модным домом в 2018 году. Dylan Blue создан для уверенных в себе женщин, которые привыкли быть в центре внимания. Стойкий парфюм Versace оставляет после себя нежный фруктовый шлейф. Черная смородина создает насыщенный и пленительный аромат. Нежный и выразительный клевер наполняет композицию природной чувственностью. Тонкий и романтичный аромат незабудки будет ассоциироваться с летом. Пачули передает загадочную и соблазнительную ауру.||страна происхождения: Италия; изготовитель:«EUROITALIA S.R.L», адрес: Via Galileo Galilei 5, 20873 Cavenago di Brianza (MB), Италия;
19000120749|https://goldapple.ru/19000120749-memories-lab|CHRISTINE LAVOISIER PARFUMS Memories lab|950|RUB|4.6|Настоящий  «аромат юности». Легкий, полупрозрачный  ягодный аромат с цитрусовой кислинкой и травянистыми нотками, который непременно продлит летнее настроение. Он, как дорога к морю, оставляет шлейф ожидания чего-то прекрасного и милого сердцу. Когда позади остались тысячи миль, а все самое лучшее еще впереди! *|Нанести на шею, запястье,локтевые сгибы.|страна происхождения: Россия;
19000034442|https://goldapple.ru/19000034442-italica|CASAMORATI Italica|15840|RUB|4.8|Italica – пьянящий аромат с истинно итальянским шармом, столь характерным для коллекции Casamorati. Изначально созданный в честь Дня Святого Валентина, аромат стал настоящим подарком для истинных романтиков, для тех, кто любит любить! Тёплая и насыщенная композиция Italica раскрывается оттенками взбитых сливок из миндаля и молочных нот, приправленных чарующим шафраном. Сладкое как поцелуй сердце аромата создано из нот бурбонской ванили и шаловливых ирисок, перед ним невозможно устоять! А шарм и глубину создают ноты сандала и белого мускуса в классической базе. Флакон и упаковка созданы из перерабатываемых материалов и сохраняют традиционные для Casamorati черты стиля Либерти – итальянского модерна. Пьянящий аромат для всех, кто любит любить!|Парфюмерную воду следует наносить с расстояния 10-15 см. на тепловые точки: под коленями, область живота, запястья, сгибы локтей, район солнечного сплетения, точки за ушами, основание шеи со стороны спины, затылок. Как правило на одну точку достаточно один раз нажать на спрей. Растирать парфюмерную воду не рекомендуется, так как это может нарушить правильный процесс раскрытия композиции. Для повышения стойкости рекомендуем наносить на хорошо увлажненную кожу, комбинируя с кремом, молочком или маслом для тела.|страна происхождения: Италия; изготовитель:Xerjoff Group Spa;
19000066592|https://goldapple.ru/19000066592-scented-candle-in-metal-can-saffron|NUMBER(13) Saffron, leather, raspberry, violet, vetiver|3640|RUB|0.0|Селективная ароматическая свеча в металле «Шафран, кожа, малина, фиалка, ветивер» Сладость малины среди слоев горячей кожи, ветивер и шафран делают аромат объемным и добавляют правильную шершавость.**Каждая свеча заливается вручную и упаковывается в брендированную коробку. В комплекте к свече идут удлинённые спички, открывашка для банки в виде брелка, открытка.*|Зажигая свечу в первый раз — дождитесь пока поверхность воска расплавится до краев. Рекомендованное время горения нашей свечи — 2 часа. Подрезайте обгоревшие фитиля на несколько мм после каждого использования.**Будьте аккуратны — не беритесь за банку свечи во время горения во избежание незначительных ожогов.**Не задувайте свечу, а аккуратно накройте ее крышкой, дайте воску и банке остыть.**Держите горящую свечу в пределах видимости, берегите от детей и домашних животных, не оставляйте в открытых проветриваемых помещениях.|страна происхождения: Россия;
19000112836|https://goldapple.ru/19000112836-scented-air-freshener-ginger-spicy|MAISON DE P:ENSEE Scented Air Freshener Ginger Spicy|540|RUB|5.0|Почувствуйте тепло, которое дарят пряности и свежие цитрусовые — как кружка горячего чая. Лайм, лимон, зеленый чай и кориандр раскрываются в верхних нотах. Затем аромат оттеняют корень ириса, имбирь и кардамон. Завершающим аккордом звучат сандал, амбра и мускус. Благодаря наполнителю из высококачественных немецких деревянных стружек из кипариса, тополя и других видов дерева аромат дольше витает в воздухе.**Maison De p:ensee — удовольствие в привычных ритуалах.|Поместите саше в машину, чтобы избавиться от неприятных запахов. Наслаждайтесь уютным и свежим ароматом весь день.|"страна происхождения: Республика Корея; изготовитель:""BRAND501 Corp."", адрес:; 20 Achasan-ro 9-gil, Seongdong-gu, Seoul, Республика Корея;"
19000154006|https://goldapple.ru/19000154006-mirra|TESORI D’ORIENTE Mirra|819|RUB|3.3|Откройте аромат настроения тысячи и одной ночи. С незапамятных времен мирра считалась эксклюзивным подарком, наслаждением чувств, предназначенным только для королей и важных священных ритуалов. Чрезвычайно драгоценная, редчайшая из благовоний, она является главным героем ритуала, восстанавливающего силы. Мирра пробуждает ощущения и атмосферу далеких времен и мест, окутывая тело экзотической, ароматной вуалью. Элегантная, восточная, амбровая гармония, достигнутая благодаря отбору лучших и самых ценных эссенций. **Tesori d’Oriente Туалетная вода 100 мл приглашает Вас окунуться в мир эстетики и великолепия. Уникальная разработка итальянских парфюмеров создает туалетную воду с ярким ароматом, обладающим хорошей стойкостью до 10 часов. Туалетная вода Tesori d'Oriente принадлежит к группе восточных ароматов. Ольфакторное путешествие унесет вас от повседневной жизни: бегство в живописные уголки мира, окруженные бирюзовыми водами, где вы сможете найти свой внутренний покой. Ароматы, произведенные в Италии, созданы на основе натуральных масел, с натуральными компонентами. *Продукция вдохновлена древней идеей превратить ежедневный уход за телом в красивый ритуал, с помощью которого можно гармонизировать тело и душу. Парфюмерия данного бренда содержит традиционные восточные компоненты, использующиеся в течение многих веков при изготовлении косметики. Ароматические композиции разработаны ведущими мировыми парфюмерными компаниями и подойдут для подарка самым близким людям, потому что привлекательная и удобная упаковка имеет премиальный вид. Насладитесь роскошью гармонии Востока!|Нанести на тело или одежду, избегая попадания в глаза или на раздраженную кожу.  При необходимости повторить нанесение в течение дня.|страна происхождения: Италия; изготовитель:CONTER S.R.L.- Viale Europa, 12- 26855 Lodi Vecchio (LO), Италия;
80115700001|https://goldapple.ru/80115700001-all|CALVIN KLEIN CK All|4032|RUB|4.8|Туалетная вода Calvin Klein CK All. Линейка дерзких и культовых запахов Calvin Klein продолжает придавать новый смысл миру парфюмерии. CK All – дерзок, лишен предрассудков и выразителен. Приглашение бросить вызов условностям и ограничениям, созданное для всех без исключения. Универсальный, привлекательный, чистый запах, подобный чистому холсту для чествования личности, в то же время, является формой самовыражения и бунта. Самый новый аромат от ck: сохранив оригинальные ноты зеленого чая с цитрусом, ck all теперь дополнен цветочной молекулой paradisone, теплом амбрового запаха с легким древесным оттенком и морозной свежестью молекулы hivernal. Как и прежде, ck all помещен в культовый колбообразный флакон, выполненный в ярком белом цвете, который олицетворяет чистоту и универсальную привлекательность аромата. Классические формы в современном выражении. Верхние ноты: Мандарин, Бергамот и Цветок грейпфрута; ноты сердца: Жасмин, Лилия, Ревень и Белая фрезия; ноты базы: Амбра, Мускус и Ветивер.|Только для наружного применения.|страна происхождения: Россия; изготовитель:«COTY SPAIN, S.L.», ИСПАНИЯ, C/de la Marina 16-18, Torre Mapfre, Planta 16, 08005 Barcelona, Spain;
19000258023|https://goldapple.ru/19000258023-narkoticeskoe-naslazdenie|INITIO PARFUMS PRIVES narcotic delight|40750|RUB|5.0|Новый аромат Сarnal, воспламеняющий чувственность. *Смелый. Вызывающий привыкание. Опьяняющий.*Аромат позволяет прочувствовать новые переживания и получить новый опыт, которые одновременно доставляют глубокое удовольствие и влияют на сознание. Возбуждение чувств начинается с соблазнительного аромата ванили, наэлектризованного розовым перцем, предварительно фламбированными в коньяке, а затем одымленными вихрями сигарного табака.*Дерзкий аккорд спелой сочной вишни потворствует самым будоражащим желаниям.  INITIO - это не просто красивые ароматы. *INITIO - это ЭКСПЕРИМЕНТЫ, смелые опыты... для раскрытия всех чувств.*Что, если на этот раз вы не просто наблюдали, а были главным героем ?||"страна происхождения: Франция; изготовитель:<artessence 4="""" 75002<br="""" de="""" la="""" paix="""" paris),="""" rue="""" место="""" нахождения:="""" франl-|ия,="""">Paris, Мрес места осуществления деятельности по изготовлению продукции: ФРАНl-|ИЯ, '18 Rue<br/>Marbeuf 75008 Раris<br/><br/></artessence>;"
19000076144|https://goldapple.ru/19000076144-no4-oud-imperiale|ATMOS MOSCOW №4 Oud Imperiale|5940|RUB|0.0|Богатый, насыщенный, смолистый, древесно-фужерный аромат. В основе композиции играет бальзамический Камбоджийский Уд. Нота Черной сливы придает пряность и тягучесть, а база из восточного ладана, кожи и амбры подчеркивает характер и стилистику восточного шедевра от ATMOS Moscow.|Снимите всю упаковку. расположите свечу на ровной и устойчивой поверхности. Перед зажиганием, убедитесь, что длина фитиля не превышает 0,5см. время каждого горения свечи должно быть достаточным, чтобы вся поверхность воска успела равномерно расплавиться, чтобы предотвратить образование кратеров.|страна происхождения: Россия;
